51300012151,aba,166,293
51300019696,fgf,70,122
51300045569,bff,92,14
51300070683,dca,121,20
51300099993,fab,226,145
51300104057,fcg,85,279
51300169169,fgd,75,49
51300185518,fea,219,113
51300203347,aaa,269,72
51300216386,ffb,257,184
51300223018,dge,58,122
51300258686,aba,246,307
51300284111,ecc,91,267
51300286861,ggd,298,12
51300297155,dcf,1,198
51300316480,egg,4,44
51300346809,eff,228,282
51300349908,aac,155,127
51300350304,fbc,273,197
51300371547,eab,281,150
51300376995,bfc,100,299
51300433915,gca,169,94
51300456504,dcf,51,223
51300506954,afb,158,271
51300536768,cdb,258,217
51300585156,fdd,190,175
51300587924,caf,258,125
51300597892,cae,138,167
51300603777,ebc,223,120
51300609608,cdd,268,77
51300648512,dce,272,142
51300656035,fde,169,147
51300671579,bcg,205,106
51300673544,efg,157,66
51300762940,cgb,254,132
51300784752,cae,205,143
51300791916,bcf,238,267
51300801066,bdf,242,168
51300818787,daf,125,145
51300830798,gde,129,248
51300836083,dfc,119,177
51300886366,gdc,43,290
51300937409,aad,148,23
51300947035,aea,115,168
51301011812,bde,265,218
51301062419,gbb,286,282
51301107210,agg,254,117
51301124659,egd,190,141
51301129684,edg,150,14
51301139412,fdb,269,231
51301238460,ada,173,47
51301274753,fgc,204,198
51301283863,ffa,218,150
51301304263,fdc,229,232
51301306717,dgg,112,207
51301332718,cdd,267,66
51301342533,cbg,225,151
51301354891,faf,87,45
51301388629,gbc,88,245
51301414615,ggc,51,252
51301462754,cac,154,52
51301463997,fbg,82,254
51301485659,bfc,27,316
51301493102,fgd,229,47
51301501994,fca,264,244
51301503024,ggf,274,289
51301540880,bgb,174,169
51301603187,ggd,263,12
51301642031,ccc,186,192
51301657968,bad,195,49
51301665187,bef,76,165
51301672076,bcb,177,13
51301712484,dfg,43,71
51301723270,cfe,193,43
51301783286,eac,163,196
51301820396,bga,292,209
51301825521,edf,52,193
51301826499,cce,74,54
51301839175,dda,32,188
51301857761,edf,190,220
51301860627,cgg,75,108
51301886466,ddg,158,145
51301918470,dfc,234,161
51301926525,aed,46,28
51301949783,aff,186,280
51301950339,ccd,135,61
51301969171,gea,109,297
51301978093,fbg,214,254
51301992540,aac,79,113
51301999431,ecb,112,198
51302020640,aga,121,217
51302021002,gae,77,57
51302083131,gfg,274,80
